id,date,emotion,intensity,activity,thoughts,category,emotion_type
e90eba30-ff1a-4ffd-91bb-9ae7991c4288,2025-10-10,罪悪感,7,友人の誘いで仕事をずる休み,"今日は仕事だったけど8時ぐらいに友人から電話が来て遊ぼうと言われて仕事行くのがめんどくさくなってしまって初めてずる休みした
 罪悪感があってあまり喜べなかった",仕事・勉強,negative
a9194c1a-90fd-47f8-b228-66fa509e8c19,2025-10-10,平静,5,コロナとインフルの検査,"仮病だけど一応病院に行ってコロナとインフルの検査受けた 
結果はどっちも陰性でそうだろうなと感じだった",運動・健康,neutral
e3db8be2-7cd8-4b41-8934-bc8aeac181e2,2025-10-10,安心,7,友人に別れたことを相談,"友人に別れたことを話した もうどうにもならないので前を見て生きるしかないと言われて確かにそうだなと思って少し気持ちが楽になった 
やっぱり人に話すと大分楽になるな",家族・友人との時間,positive
086cbfab-c712-42f2-aa3c-1eeb6d1978e2,2025-10-10,喜び,8, NISA投資の確認,"NISAで1万円入金していて金額が154円増えていた 
めっちゃ少ない金額だけど何もせずに増えたって考えたらすごくうれしかった 
NISAの金額増やしたくなった",その他,positive
485e42cf-e37d-4d5c-b744-f9e0b03f93b6,2025-10-10,混乱,6,9月の家計簿入力," 9月の家計簿入力した 黒字にはなったけどイヤフォン、靴、アプリ課金、デートとかいろいろやったのでぎりぎりだった 
もう少し貯金できる金額を増やしていきたい",その他,negative
333b20d6-46a7-42d9-9c5b-0a7cd242c6ae,2025-10-10,満足,7,家計簿アプリに資産管理機能追加,"家計簿アプリに資産管理の項目を追加した
 これで証券と銀行の残高をまとめて管理できるようになってモチベも上がると思う",創作活動,positive
90b1189f-258b-40a8-aa55-b8ba3f56b4d7,2025-10-10,満足,8,Claude活用で感情記録の自動分類機能作成,"自己肯定アプリにいつも感情記録をしていたんだけどいつもだったら自分で文章の区切りを見つけてコピーしてAIに聞いていて凄くめんどくさかった 
クロードに文章をまとめて入力して自動で分類してもらう機能を作成してもらった これで入力の手間が減った 凄く満足",創作活動,positive
c610f92b-6773-43c3-851b-86a34fc9a720,2025-10-10,誇り,7,スーパーでの買い出し,スーパー行くのがすごくめんどくさい スーパー買い出し行った 偉すぎる,その他,positive
114202b9-0277-4724-98fc-4cd9f9a58fc4,2025-10-10,誇り,8, 背中の筋トレ,"筋トレもやった 偉すぎる 
めんどくさいに打ち勝っていったのが素晴らしい
 背中のトレーニングをやった 久しぶりにやったのですぐに背中に筋肉痛が来た この調子で頑張っていきたい",運動・健康,positive
8e428aa4-1da3-4252-a3c6-c93f6ec24589,2025-10-10,満足,7, 感情記録アプリの自動分類機能改良,"感情記録アプリ　自動分類機能を改良した 
これで自己肯定アプリの入力の手間が減ったので良かった",創作活動,positive
b57dfd31-7932-44a5-9133-3250bd0c4f6d,2025-10-10,喜び,7,チェンソーマンアニメ視聴,チェンソーマンアニメ見た ポチたが可愛い,趣味・娯楽,positive
37e9ce35-7703-414a-98f7-cee1fbbade3d,2025-10-10,感謝,8,人生の価値観について考える,"幸せを感じる価値観が低いと人生楽しそうだね 
日常のありふれた瞬間をしっかり認識して今生きていることに感謝していきたい
 うまい飯が食えてくだらないことで悩めて命の危機に脅かされることもない 
今の状態が素晴らしいけど人間は欲深い生き物だからさらに求めてしまうんだよな",その他,positive
381fbaf4-4132-47eb-81cb-fb2da319f1d9,2025-10-10,希望,8,やりたいことリスト管理アプリ作成,"自分のやりたいことリストをまとめるアプリを作成した
 毎週1つの初めての体験を記録して、人生を豊かにする ことを目的に作成した 
最近彼女と別れて人生の楽しみがなくなっていたので新しいことにチャレンジして人生に楽しみを取り戻したい
 簡単に作成できたので良かった これを使用して新しいことにどんどんチャレンジしていきたい",創作活動,positive
